iz,z,n_ivols,r,xi,bin_idx
iz176,1.00678,1,0.12183539842323299,26574.750154152563,0
iz176,1.00678,1,0.16910965409211537,27891.69031291218,1
iz176,1.00678,1,0.2348906846650048,28377.720279565317,2
iz176,1.00678,1,0.3257702790268454,19594.39815045175,3
iz176,1.00678,1,0.44442550177478723,13430.139603792257,4
iz176,1.00678,1,0.6151164395777302,7649.139254549903,5
iz176,1.00678,1,0.8532585659917507,4569.442717887899,6
iz176,1.00678,1,1.178690430933549,2347.7259593700574,7
iz176,1.00678,1,1.6323728708550616,1284.3815002468675,8
iz176,1.00678,1,2.2749579774382087,782.8688815553679,9
iz176,1.00678,1,3.1528140389667194,462.36903193202,10
iz176,1.00678,1,4.360032728969631,255.60676457307585,11
iz176,1.00678,1,6.018051120733399,121.87112460473428,12
iz176,1.00678,1,8.260605676389986,44.45159874988336,13
iz176,1.00678,1,11.070859956320582,6.110768098799232,14
iz176,1.00678,1,16.204089006577203,0.810322157270889,15
iz176,1.00678,1,22.86576075717727,0.2570530414688832,16
iz176,1.00678,1,31.401248876910735,0.015020679179868601,17
iz176,1.00678,1,43.78769787877462,0.04283580409800192,18
iz176,1.00678,2,0.12241785947084365,16236.231943189952,0
iz176,1.00678,2,0.17014946924763008,12658.66375585175,1
iz176,1.00678,2,0.23515263160620423,14782.616334578259,2
iz176,1.00678,2,0.32392000254356645,10295.248261310471,3
iz176,1.00678,2,0.44496655780083766,6653.6728395888385,4
iz176,1.00678,2,0.6151959417021786,3901.673524063569,5
iz176,1.00678,2,0.8528443330782054,2274.3928280724417,6
iz176,1.00678,2,1.1815877787270654,1173.3551528991325,7
iz176,1.00678,2,1.6331234490408377,616.1353423095995,8
iz176,1.00678,2,2.2675602026080717,339.0647052532333,9
iz176,1.00678,2,3.145255790904771,187.43100045244165,10
iz176,1.00678,2,4.3464806500729445,97.08170289613578,11
iz176,1.00678,2,6.003515900571446,40.51244309809942,12
iz176,1.00678,2,8.263657414010625,13.093852146040515,13
iz176,1.00678,2,11.277142060968,1.8984609544389466,14
iz176,1.00678,2,16.30041634535973,0.40887301366699447,15
iz176,1.00678,2,22.632577625402718,0.0970495301726213,16
iz176,1.00678,2,31.431746877659116,-0.024094691975939053,17
iz176,1.00678,2,43.805123371879965,0.007395883349027077,18
iz176,1.00678,4,0.1216278077659508,6013.439742141172,0
iz176,1.00678,4,0.17090509162101783,5872.454618498618,1
iz176,1.00678,4,0.23541211592793684,6803.977456471012,2
iz176,1.00678,4,0.32436636713961275,4867.161224902207,3
iz176,1.00678,4,0.44446125316898877,3536.0840024201207,4
iz176,1.00678,4,0.6133255304720497,1987.7650284965139,5
iz176,1.00678,4,0.8487434943725289,1119.40051572998,6
iz176,1.00678,4,1.1810610952087126,582.3856079826974,7
iz176,1.00678,4,1.6343092114856599,304.03706161968387,8
iz176,1.00678,4,2.2700404153707288,166.77622881361057,9
iz176,1.00678,4,3.1459401552738804,89.94517616857716,10
iz176,1.00678,4,4.351621888273126,46.83575643101544,11
iz176,1.00678,4,6.023823486396252,21.048152681502852,12
iz176,1.00678,4,8.309972569238491,8.148746157293653,13
iz176,1.00678,4,11.45204389053006,1.9423531566608143,14
iz176,1.00678,4,16.21216245137726,0.2489557927938244,15
iz176,1.00678,4,22.713029869070574,0.041596748723296884,16
iz176,1.00678,4,31.506539821470835,-0.032528338911827936,17
iz176,1.00678,4,43.845588354684736,-0.008203407681584118,18
iz176,1.00678,8,0.11992799914566284,2364.979947964744,0
iz176,1.00678,8,0.16965879192009417,2645.0585761439697,1
iz176,1.00678,8,0.23280459550139282,3176.1920134441075,2
iz176,1.00678,8,0.3231026938048409,2530.0053037243124,3
iz176,1.00678,8,0.44471879191014474,1724.1615971314445,4
iz176,1.00678,8,0.6128404995104578,1030.270628639862,5
iz176,1.00678,8,0.8492783548709922,566.309484646372,6
iz176,1.00678,8,1.1799598580846606,294.9285198670397,7
iz176,1.00678,8,1.6362935413651305,155.35165427106102,8
iz176,1.00678,8,2.2677423255274216,84.57309963168052,9
iz176,1.00678,8,3.14692920569715,45.600037055241856,10
iz176,1.00678,8,4.349569919521707,23.070090561686488,11
iz176,1.00678,8,6.017187154656923,9.944643057179443,12
iz176,1.00678,8,8.333487279243071,3.66942513558727,13
iz176,1.00678,8,11.570630874322237,0.9076167526931631,14
iz176,1.00678,8,16.33893769721462,0.184770460622246,15
iz176,1.00678,8,22.69830207982447,0.060222504882369465,16
iz176,1.00678,8,31.55767007865106,0.004057408715589794,17
iz176,1.00678,8,43.79059162437526,0.003947613728715549,18
iz176,1.00678,20,0.12053785934708862,853.2620527980595,0
iz176,1.00678,20,0.1696354560176965,1107.7946929352365,1
iz176,1.00678,20,0.23364209006623812,1285.2768083878332,2
iz176,1.00678,20,0.32109411231048796,1043.8800306763699,3
iz176,1.00678,20,0.4443338875630166,709.4567234124901,4
iz176,1.00678,20,0.6126156430041106,413.9123553285005,5
iz176,1.00678,20,0.8483021420868694,221.17505321806541,6
iz176,1.00678,20,1.178994997135711,112.5061585141294,7
iz176,1.00678,20,1.6343075650449632,58.4546186291213,8
iz176,1.00678,20,2.2667217517212555,30.763323901639666,9
iz176,1.00678,20,3.1436454418724478,15.684025648127378,10
iz176,1.00678,20,4.348333904792157,7.538771655189747,11
iz176,1.00678,20,6.02425987160369,2.9239377975777643,12
iz176,1.00678,20,8.3959311439689,0.9521143478203009,13
iz176,1.00678,20,11.736212155257437,0.25342510042225785,14
iz176,1.00678,20,16.380209510159055,0.07275013794441398,15
iz176,1.00678,20,22.72598467429088,0.037577771298323404,16
iz176,1.00678,20,31.548653794308176,0.009616353074640704,17
iz176,1.00678,20,43.76423018013826,0.003211054732203067,18
iz176,1.00678,50,0.12173114208526988,319.657737214161,0
iz176,1.00678,50,0.1697142103060237,445.2213599626703,1
iz176,1.00678,50,0.23402664930966616,499.20252278768874,2
iz176,1.00678,50,0.321273436956985,415.43064778031766,3
iz176,1.00678,50,0.44482013852083374,280.9340470145591,4
iz176,1.00678,50,0.6136542685907955,165.5868488962404,5
iz176,1.00678,50,0.8496053933058494,88.89438069986198,6
iz176,1.00678,50,1.1788407135624601,45.483633250619256,7
iz176,1.00678,50,1.6349121526694095,23.66441451947134,8
iz176,1.00678,50,2.2686831667282594,12.518899926346462,9
iz176,1.00678,50,3.1478953824028326,6.461182191200812,10
iz176,1.00678,50,4.363631958607028,3.1280410097107083,11
iz176,1.00678,50,6.065376621400951,1.2909539635470368,12
iz176,1.00678,50,8.45238958256795,0.4808035831707158,13
iz176,1.00678,50,11.783629773294345,0.1674809723804509,14
