iz,n_ivols,n_gal,r,r_min,r_max,dd
271,1,71289,0.5388714417563985,0.5,0.584315433076528,64
271,1,71289,0.6410360336897706,0.584315433076528,0.682849050662821,76
271,1,71289,0.7370976589527369,0.682849050662821,0.7979984775278846,136
271,1,71289,0.8664185029836313,0.7979984775278846,0.9325656519822317,186
271,1,71289,1.0186282241085205,0.9325656519822317,1.089825005620585,242
271,1,71289,1.1897382037993478,1.089825005620585,1.2736031402736432,382
271,1,71289,1.3847861102886656,1.2736031402736432,1.4883719409532399,538
271,1,71289,1.6188291097956047,1.4883719409532399,1.73935739051409,750
271,1,71289,1.8918989072203125,1.73935739051409,2.0326667338262,1074
271,1,71289,2.2122937076047684,2.0326667338262,2.3754370857518157,1390
271,1,71289,2.5848307446432712,2.3754370857518157,2.7760090990142356,2112
271,1,71289,3.0220918491988384,2.7760090990142356,3.2441299178297704,2948
271,1,71289,3.5266802178573387,3.2441299178297704,3.7911903557864473,4474
271,1,71289,4.12236609946865,3.7911903557864473,4.430502069233829,6432
271,1,71289,4.817794895209018,4.430502069233829,5.177621470661636,9924
271,1,71289,5.637372302539131,5.177621470661636,6.050728263871968,15046
271,1,71289,6.5876979125580535,6.050728263871968,7.071067811865475,22608
271,1,71289,7.696179310825468,7.071067811865475,8.263468101607344,34530
271,1,71289,8.996583266520402,8.263468101607344,9.656943885009541,53030
271,1,71289,10.511641613885633,9.656943885009541,11.285402696730158,81390
271,1,71289,12.284593169307357,11.285402696730158,13.188469928365798,126380
271,1,71289,14.356780248347919,13.188469928365798,15.412453035619656,197372
271,1,71289,16.77588856756464,15.412453035619656,18.011468340559496,307974
271,1,71289,19.606686354609977,18.011468340559496,21.04875784751639,485024
271,1,71289,22.911385227879933,21.04875784751639,24.598228114789016,763208
271,1,71289,26.776750773959968,24.598228114789016,28.746248627616342,1209658
271,1,71289,31.2933900923822,28.746248627616342,33.59375343234238,1918798
271,1,71289,36.569848335941074,33.59375343234238,39.25869717097048,3044354
271,1,71289,42.736498323116116,39.25869717097048,45.87892527895176,4839648
271,1,71289,49.947751596471754,45.87892527895176,53.61552818691274,7712734
271,1,71289,58.37027211556301,53.61552818691274,62.65676114432542,12296468
271,1,71289,68.2121147363529,62.65676114432542,73.22262504643817,19621950
271,1,71289,79.71471200179666,73.22262504643817,85.57021973001949,31292814
271,1,71289,93.1583994120852,85.57021973001949,100.0,49884270
271,2,142658,0.5413431869312735,0.5,0.584315433076528,282
271,2,142658,0.6382233712852273,0.584315433076528,0.682849050662821,332
271,2,142658,0.73637377794277,0.682849050662821,0.7979984775278846,548
271,2,142658,0.8681262636072843,0.7979984775278846,0.9325656519822317,728
271,2,142658,1.0170644633633577,0.9325656519822317,1.089825005620585,994
271,2,142658,1.1852102493922922,1.089825005620585,1.2736031402736432,1536
271,2,142658,1.3854173168225468,1.2736031402736432,1.4883719409532399,2066
271,2,142658,1.612958559417142,1.4883719409532399,1.73935739051409,2980
271,2,142658,1.890530010095922,1.73935739051409,2.0326667338262,4272
271,2,142658,2.208414630121368,2.0326667338262,2.3754370857518157,5834
271,2,142658,2.5842127713967713,2.3754370857518157,2.7760090990142356,8516
271,2,142658,3.0185610196069597,2.7760090990142356,3.2441299178297704,12072
271,2,142658,3.5291205759527253,3.2441299178297704,3.7911903557864473,18248
