iz,z,n_ivols,r,xi,bin_idx
iz271,0.0,1,0.12155729695483293,0.08708309133077918,0
iz271,0.0,1,0.16765518472584495,-0.01743998811711811,1
iz271,0.0,1,0.23311947810768172,0.013758651637375108,2
iz271,0.0,1,0.32294413641639,0.006094581538725441,3
iz271,0.0,1,0.4485548401749792,0.0022636649258136465,4
iz271,0.0,1,0.6232315738782507,-0.004368208135482332,5
iz271,0.0,1,0.864078912440719,0.0026908182918667922,6
iz271,0.0,1,1.1978283235304448,0.002559835409331468,7
iz271,0.0,1,1.6620201460556683,0.0024496632696866527,8
iz271,0.0,1,2.305663976048734,0.002856540283799225,9
iz271,0.0,1,3.197477637722975,0.0014416449908611906,10
iz271,0.0,1,4.434514727304141,0.0015677182991247207,11
iz271,0.0,1,6.150430806753961,0.0006249389578663056,12
iz271,0.0,1,8.530075978037953,0.0004675211237366028,13
iz271,0.0,1,11.830244215616608,0.00016306058691406555,14
iz271,0.0,1,16.407815969395976,6.634381491887886e-05,15
iz271,0.0,1,22.756229466165355,1.5999369370245375e-05,16
iz271,0.0,2,0.12155729695483292,0.06837090446795713,0
iz271,0.0,2,0.16765518472584498,0.04539565696957559,1
iz271,0.0,2,0.2331194781076817,0.0003326777854509855,2
iz271,0.0,2,0.32294413641638997,0.027310832718081657,3
iz271,0.0,2,0.4485548401749792,0.005889647816421983,4
iz271,0.0,2,0.6232315738782509,0.004419957896754201,5
iz271,0.0,2,0.864078912440719,0.003896755622028847,6
iz271,0.0,2,1.1978283235304448,0.007211872512529638,7
iz271,0.0,2,1.6620201460556678,0.0032459359473200333,8
iz271,0.0,2,2.3056639760487343,0.002848610658523154,9
iz271,0.0,2,3.1974776377229763,0.002368157862013942,10
iz271,0.0,2,4.4345147273041405,0.0015952974647351903,11
iz271,0.0,2,6.150430806753961,0.0007864005805197083,12
iz271,0.0,2,8.530075978037955,0.0007274394961666042,13
iz271,0.0,2,11.830244215616608,0.00032661022565061426,14
iz271,0.0,2,16.407815969395973,9.736584594188802e-05,15
iz271,0.0,2,22.756229466165347,3.032052371410021e-05,16
iz271,0.0,4,0.12155729695483294,0.022745766397407885,0
iz271,0.0,4,0.16765518472584495,0.024191026511069885,1
iz271,0.0,4,0.23311947810768172,-0.0033474187961567703,2
iz271,0.0,4,0.32294413641639,0.020819722559236586,3
iz271,0.0,4,0.4485548401749792,0.008484491371723635,4
iz271,0.0,4,0.6232315738782508,0.008517442209208553,5
iz271,0.0,4,0.864078912440719,0.005288017156758251,6
iz271,0.0,4,1.1978283235304454,0.005051391699072927,7
iz271,0.0,4,1.6620201460556683,0.0020574128858123486,8
iz271,0.0,4,2.305663976048734,0.0025337297891952493,9
iz271,0.0,4,3.197477637722975,0.0016863100140029896,10
iz271,0.0,4,4.4345147273041405,0.001153478349982917,11
iz271,0.0,4,6.1504308067539615,0.0008147389782140468,12
iz271,0.0,4,8.530075978037953,0.0006195444119793114,13
iz271,0.0,4,11.830244215616608,0.0002709991147405444,14
iz271,0.0,4,16.407815969395976,0.00012435176068276155,15
iz271,0.0,4,22.756229466165347,5.5218019564373666e-05,16
iz271,0.0,8,0.12155729695483294,0.04055782348440676,0
iz271,0.0,8,0.16765518472584495,0.026950864870426555,1
iz271,0.0,8,0.2331194781076817,0.005280423186520944,2
iz271,0.0,8,0.32294413641639,0.018774365171980778,3
iz271,0.0,8,0.4485548401749792,0.004194821004795193,4
iz271,0.0,8,0.6232315738782507,0.009525530753162051,5
iz271,0.0,8,0.864078912440719,0.005503853879304771,6
iz271,0.0,8,1.1978283235304454,0.004442632057889306,7
iz271,0.0,8,1.6620201460556683,0.002699359293784065,8
iz271,0.0,8,2.305663976048734,0.002517511047291282,9
iz271,0.0,8,3.1974776377229763,0.0017808970378573319,10
iz271,0.0,8,4.4345147273041405,0.001308825973621558,11
iz271,0.0,8,6.150430806753962,0.0008179045584972289,12
iz271,0.0,8,8.530075978037953,0.0005233681753729069,13
iz271,0.0,8,11.830244215616608,0.0003009314517708195,14
iz271,0.0,8,16.407815969395973,0.00011608882829436395,15
iz271,0.0,8,22.756229466165347,5.2820734015163184e-05,16
iz271,0.0,10,0.12155729695483293,0.03405413314268877,0
iz271,0.0,10,0.16765518472584495,0.007641622512875567,1
iz271,0.0,10,0.23311947810768172,0.00838046992119823,2
iz271,0.0,10,0.32294413641639,0.016310647549792633,3
iz271,0.0,10,0.44855484017497926,0.00601474225311015,4
iz271,0.0,10,0.6232315738782508,0.008986604390752485,5
iz271,0.0,10,0.864078912440719,0.005454764881068797,6
iz271,0.0,10,1.1978283235304448,0.0040981674537450274,7
iz271,0.0,10,1.662020146055668,0.0029755602035416383,8
iz271,0.0,10,2.305663976048733,0.002559083700767939,9
iz271,0.0,10,3.1974776377229746,0.0015603024395840492,10
iz271,0.0,10,4.4345147273041405,0.0014065310017078226,11
iz271,0.0,10,6.150430806753962,0.0008980506057737925,12
iz271,0.0,10,8.530075978037955,0.000515209458901178,13
iz271,0.0,10,11.830244215616608,0.0003317627464478834,14
iz271,0.0,10,16.407815969395973,0.00011700425454166385,15
iz271,0.0,10,22.756229466165347,4.168753534034009e-05,16
iz271,0.0,15,0.12155729695483293,0.016795361547620662,0
iz271,0.0,15,0.16765518472584498,0.012080752437362018,1
iz271,0.0,15,0.2331194781076817,0.01502879065730749,2
iz271,0.0,15,0.32294413641638997,0.01208268481055829,3
iz271,0.0,15,0.4485548401749792,0.00752062622362654,4
iz271,0.0,15,0.6232315738782508,0.008188759110503081,5
iz271,0.0,15,0.8640789124407192,0.0049695838301355415,6
iz271,0.0,15,1.1978283235304448,0.004141351669947202,7
iz271,0.0,15,1.662020146055668,0.0027999552303494455,8
iz271,0.0,15,2.305663976048734,0.0024346902513867324,9
iz271,0.0,15,3.1974776377229754,0.001606719440766106,10
iz271,0.0,15,4.4345147273041405,0.0014864250649191094,11
iz271,0.0,15,6.1504308067539615,0.0008359360835317631,12
iz271,0.0,15,8.530075978037953,0.0005407336424988843,13
iz271,0.0,15,11.830244215616608,0.00031575185252821216,14
iz271,0.0,15,16.407815969395976,0.00014395034123199462,15
iz271,0.0,15,22.756229466165355,3.65184440536126e-05,16
iz271,0.0,20,0.12155729695483292,0.02426395512115865,0
iz271,0.0,20,0.16765518472584495,0.022749364938229898,1
iz271,0.0,20,0.23311947810768172,0.013410656607547733,2
iz271,0.0,20,0.3229441364163899,0.008527162427055673,3
iz271,0.0,20,0.44855484017497926,0.007881994121168917,4
iz271,0.0,20,0.6232315738782508,0.008892381158710933,5
iz271,0.0,20,0.864078912440719,0.0053902433400229936,6
iz271,0.0,20,1.1978283235304454,0.0038177966707929334,7
iz271,0.0,20,1.6620201460556683,0.002973149870482522,8
iz271,0.0,20,2.305663976048734,0.0025040256885809574,9
iz271,0.0,20,3.1974776377229754,0.0017618082884678532,10
iz271,0.0,20,4.4345147273041405,0.0015690931153146015,11
iz271,0.0,20,6.1504308067539615,0.0008529953901388998,12
iz271,0.0,20,8.530075978037955,0.0005739954256933633,13
iz271,0.0,20,11.830244215616608,0.0003257240233393133,14
iz271,0.0,20,16.40781596939598,0.00017723533472223662,15
iz271,0.0,20,22.756229466165347,3.1237950443613324e-05,16
iz271,0.0,30,0.1215572969548329,0.03090646438657336,0
iz271,0.0,30,0.16765518472584498,0.025483019887870807,1
iz271,0.0,30,0.23311947810768172,0.008859135495396527,2
iz271,0.0,30,0.32294413641639,0.006940534093026562,3
iz271,0.0,30,0.4485548401749792,0.01006869434993602,4
iz271,0.0,30,0.6232315738782508,0.007278502871234686,5
iz271,0.0,30,0.8640789124407192,0.0057556488493171265,6
iz271,0.0,30,1.1978283235304448,0.004198895857677258,7
iz271,0.0,30,1.662020146055668,0.0029558557568604518,8
iz271,0.0,30,2.305663976048734,0.0025503566206898087,9
iz271,0.0,30,3.197477637722976,0.001843279357709482,10
iz271,0.0,30,4.4345147273041405,0.0014788630525388888,11
iz271,0.0,30,6.1504308067539615,0.0008780407166937583,12
iz271,0.0,30,8.530075978037953,0.000587859504689181,13
iz271,0.0,30,11.83024421561661,0.00034130418452037826,14
iz271,0.0,30,16.407815969395976,0.00018155910730806025,15
iz271,0.0,30,22.756229466165347,3.695172661625223e-05,16
iz271,0.0,50,0.12155729695483293,0.02593186692164108,0
iz271,0.0,50,0.16765518472584498,0.023379384456388354,1
iz271,0.0,50,0.23311947810768172,0.010346093504085748,2
iz271,0.0,50,0.3229441364163899,0.009513565667748388,3
iz271,0.0,50,0.4485548401749792,0.010053153190038237,4
iz271,0.0,50,0.6232315738782508,0.006091067556298742,5
iz271,0.0,50,0.864078912440719,0.005423320233930371,6
iz271,0.0,50,1.1978283235304454,0.004264468047727701,7
iz271,0.0,50,1.662020146055668,0.003114013401967042,8
iz271,0.0,50,2.3056639760487334,0.0024675593314851117,9
iz271,0.0,50,3.197477637722976,0.0018497785138950995,10
iz271,0.0,50,4.4345147273041405,0.0013656127403529218,11
iz271,0.0,50,6.1504308067539615,0.0008677993642988202,12
iz271,0.0,50,8.530075978037953,0.0006142591778439499,13
iz271,0.0,50,11.830244215616608,0.00037076357844985976,14
