logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,9.205332894246760489e-01,4.193501745526668351e-02
9.499999999999998224e+00,3.857611442489875531e-01,1.850139469088799699e-02
9.699999999999997513e+00,6.073820766319937281e-01,2.970866332935312784e-02
9.899999999999996803e+00,2.021479768716492043e-01,9.888849656620152251e-03
1.009999999999999609e+01,1.697915777700363671e-01,1.047661853281568918e-02
1.029999999999999538e+01,6.725093297537089454e-02,3.973628977349380996e-03
1.049999999999999467e+01,3.771861041137274106e-02,2.265215210681515746e-03
1.069999999999999396e+01,1.713722895521824913e-02,1.548716800552794306e-03
1.089999999999999325e+01,7.379867812174037249e-03,8.277696192796112160e-04
1.109999999999999254e+01,3.167849221943230646e-03,3.223093480487618017e-04
1.129999999999999183e+01,1.253003241945091061e-03,2.771239466755284916e-04
1.149999999999999112e+01,4.048164320130293622e-04,1.387108846900745403e-04
1.169999999999999041e+01,1.799184142280130770e-04,1.160182694958110291e-04
1.189999999999998970e+01,3.212828825500232743e-05,2.873641461555733162e-05
1.209999999999998899e+01,1.285131530200093334e-05,2.131149545964499415e-05
1.229999999999998828e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.249999999999998757e+01,3.212828825500233336e-06,9.638486476500701279e-06
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
