logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.793786589853290647e-01,4.018343465229908158e-03
9.499999999999998224e+00,1.616566951838697697e-01,2.808431426850910208e-03
9.699999999999997513e+00,1.011623412285258539e+00,2.233111568555946544e-02
9.899999999999996803e+00,6.969653827734166862e-01,2.089324496373231449e-02
1.009999999999999609e+01,7.111275322362218265e-01,2.785024873757778463e-02
1.029999999999999538e+01,4.869170598198624411e-01,2.011926255789022941e-02
1.049999999999999467e+01,2.751595119311420201e-01,1.170271918419120948e-02
1.069999999999999396e+01,2.184338061881098692e-01,7.478521470708297120e-03
1.089999999999999325e+01,1.155590271955924120e-01,3.918566028807214489e-03
1.109999999999999254e+01,8.244761331998699816e-02,2.776107209379389141e-03
1.129999999999999183e+01,5.102614740659470322e-02,2.168542840290194063e-03
1.149999999999999112e+01,3.146644551694929154e-02,8.255407273703635257e-04
1.169999999999999041e+01,2.163518931091857472e-02,1.499341537272622397e-03
1.189999999999998970e+01,1.294770016676594082e-02,5.761633214920933426e-04
1.209999999999998899e+01,8.520422045226619043e-03,3.170135826542660302e-04
1.229999999999998828e+01,5.230485327914380540e-03,2.549294137876853073e-04
1.249999999999998757e+01,3.373470266775245065e-03,3.774219297485505186e-04
1.269999999999998685e+01,2.544560429796185151e-03,1.931976317868989881e-04
1.289999999999998614e+01,1.510029547985109735e-03,2.748799911481105340e-04
1.309999999999998543e+01,8.160585216770594461e-04,1.387108846900745403e-04
1.329999999999998472e+01,5.012012967780364462e-04,6.615619458730413673e-05
1.349999999999998401e+01,3.212828825500233963e-04,6.739286599681521385e-05
1.369999999999998330e+01,1.927697295300140324e-04,3.519477642258614505e-05
1.389999999999998259e+01,1.220874953690088863e-04,6.229906233081618900e-05
1.409999999999998188e+01,5.140526120800374693e-05,3.855394590600280512e-05
1.429999999999998117e+01,3.212828825500233421e-05,2.031971364164879957e-05
1.449999999999998046e+01,2.570263060400186669e-05,2.404260941474638643e-05
1.469999999999997975e+01,1.285131530200093334e-05,1.573958250676189418e-05
