logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,9.666719209804784940e-01,6.580312955773236216e-02
9.499999999999998224e+00,4.041015775993556658e-01,2.953368213915713580e-02
9.699999999999997513e+00,6.437866400537368694e-01,4.998139988272976009e-02
9.899999999999996803e+00,2.154804132902687908e-01,1.709259990196351775e-02
1.009999999999999609e+01,1.847577376464228094e-01,1.725918620179391419e-02
1.029999999999999538e+01,7.331273776188346192e-02,7.625282841469866596e-03
1.049999999999999467e+01,4.106798446195673857e-02,5.310742637078077165e-03
1.069999999999999396e+01,1.890348160203699987e-02,2.311224374876135954e-03
1.089999999999999325e+01,8.277050261694977526e-03,1.180571154800270309e-03
1.109999999999999254e+01,3.594352248528386549e-03,5.855016931445291770e-04
1.129999999999999183e+01,1.381516394965100290e-03,2.167171526020533951e-04
1.149999999999999112e+01,5.261007201756632938e-04,1.824093999206961901e-04
1.169999999999999041e+01,2.168659457212657898e-04,8.151662841801116067e-05
1.189999999999998970e+01,6.827261254187995680e-05,5.665315998648979624e-05
1.209999999999998899e+01,1.204810809562587533e-05,1.555404066922192401e-05
1.229999999999998828e+01,4.016036031875291776e-06,1.062543259661668999e-05
1.249999999999998757e+01,8.032072063750583552e-06,2.125086519323337659e-05
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
