logM,phi,phi_std
8.599999999999999645e+00,4.432491390954283912e-03,8.594216493938127820e-04
8.799999999999998934e+00,3.049762607753146552e-03,6.962128229395498193e-04
8.999999999999998224e+00,2.033175071835430746e-03,5.594931984944976310e-04
9.199999999999997513e+00,1.353025271418212012e-03,3.251789337728137061e-04
9.399999999999996803e+00,8.589770652327981390e-04,2.843082726444366931e-04
9.599999999999996092e+00,5.655791121116447023e-04,1.896467423124699762e-04
9.799999999999995381e+00,3.667474414014417687e-04,1.461594234429334485e-04
9.999999999999994671e+00,1.964068942381274924e-04,1.110609830161785863e-04
1.019999999999999396e+01,7.759284710642073372e-05,4.604681803684802392e-05
1.039999999999999325e+01,2.364157060273755460e-05,2.658974986679411200e-05
1.059999999999999254e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.079999999999999183e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999112e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.119999999999999041e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.139999999999998970e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.159999999999998899e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.179999999999998828e+01,0.000000000000000000e+00,0.000000000000000000e+00
