logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.778589909508674349e-01,4.044859622241095062e-03
9.499999999999998224e+00,1.595394409878650999e-01,5.025177544670510546e-03
9.699999999999997513e+00,1.004327078022547504e+00,2.972793706662722399e-02
9.899999999999996803e+00,6.890104186014781584e-01,2.858330573331973115e-02
1.009999999999999609e+01,7.030601190553905644e-01,3.238284890791735121e-02
1.029999999999999538e+01,4.800769472503724766e-01,2.102500933994142299e-02
1.049999999999999467e+01,2.720334294839302780e-01,1.379649787950563977e-02
1.069999999999999396e+01,2.144723882462680753e-01,8.900199845151168798e-03
1.089999999999999325e+01,1.133261111618697192e-01,6.272542065990322456e-03
1.109999999999999254e+01,8.158657519475293052e-02,4.814468751428510260e-03
1.129999999999999183e+01,5.022615302904515078e-02,2.303714769190806210e-03
1.149999999999999112e+01,3.154676623758679438e-02,1.565636902949026120e-03
1.169999999999999041e+01,2.113720084296603560e-02,1.149856130947720430e-03
1.189999999999998970e+01,1.262320445539041880e-02,8.106840006477636276e-04
1.209999999999998899e+01,8.652148027072129391e-03,4.754661026046969464e-04
1.229999999999998828e+01,5.619237615799908478e-03,3.573179900696964281e-04
1.249999999999998757e+01,3.399172897379247084e-03,3.748973400115267586e-04
1.269999999999998685e+01,2.114041367179153499e-03,2.781649310903357066e-04
1.289999999999998614e+01,1.355813764361098704e-03,2.462796236153279609e-04
1.309999999999998543e+01,8.867407558380644567e-04,1.997129130913511200e-04
1.329999999999998472e+01,5.140526120800374557e-04,1.026095241349676796e-04
1.349999999999998401e+01,3.212828825500233963e-04,1.140441099666097058e-04
1.369999999999998330e+01,1.895569007045138071e-04,1.107843757696753739e-04
1.389999999999998259e+01,1.060233512415077191e-04,3.228853008822925877e-05
1.409999999999998188e+01,4.497960355700326247e-05,2.570263060400187008e-05
1.429999999999998117e+01,2.891545942950209875e-05,2.248980177850163462e-05
1.449999999999998046e+01,1.927697295300139917e-05,2.131149545964499415e-05
1.469999999999997975e+01,3.212828825500233336e-06,9.638486476500699585e-06
