logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,2.027054026728734915e+00,7.928191556787532457e-02
9.499999999999998224e+00,7.239708154661589345e-01,2.699076801758487631e-02
9.699999999999997513e+00,1.675000276102483143e+00,6.824916006056919171e-02
9.899999999999996803e+00,6.124053345006632565e-01,2.576543871283921636e-02
1.009999999999999609e+01,6.184775809808586988e-01,2.901134951262988870e-02
1.029999999999999538e+01,3.180780857965869179e-01,1.621756901596556680e-02
1.049999999999999467e+01,1.921432279090414807e-01,1.205443570679591743e-02
1.069999999999999396e+01,1.259910823919916656e-01,7.033985934343219525e-03
1.089999999999999325e+01,6.229675092644952616e-02,4.445735561906248232e-03
1.109999999999999254e+01,3.796760464534901236e-02,2.655337911701679664e-03
1.129999999999999183e+01,2.021672538446021850e-02,1.628808365483789319e-03
1.149999999999999112e+01,1.136538197020707693e-02,4.826600355242052580e-04
1.169999999999999041e+01,6.136503056705446511e-03,4.446025781938671840e-04
1.189999999999998970e+01,2.763032789930201013e-03,2.478255453311725459e-04
1.209999999999998899e+01,1.750991709897627363e-03,1.169487345254487982e-04
1.229999999999998828e+01,8.032072063750584365e-04,2.167171526020534493e-04
1.249999999999998757e+01,3.453790987412750724e-04,9.469673303542354241e-05
1.269999999999998685e+01,1.044169368287575930e-04,3.501099043312497146e-05
1.289999999999998614e+01,8.032072063750584907e-05,3.592051826944666113e-05
1.309999999999998543e+01,8.032072063750583552e-06,1.391195690447061691e-05
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,1.606414412750116710e-05,2.782391380894123383e-05
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
