logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.967182043614444042e+00,9.074071785743507979e-02
9.499999999999998224e+00,7.033726814025571539e-01,3.484090473054110570e-02
9.699999999999997513e+00,1.620712418974685987e+00,8.656016531832706751e-02
9.899999999999996803e+00,5.902462246034149151e-01,3.617735612027642850e-02
1.009999999999999609e+01,5.936141871636321232e-01,3.672617949125495107e-02
1.029999999999999538e+01,3.041208689152939959e-01,1.984776404410560149e-02
1.049999999999999467e+01,1.842575690446244252e-01,1.362998239930837512e-02
1.069999999999999396e+01,1.181283723048995871e-01,8.762705360331300361e-03
1.089999999999999325e+01,5.858180285307825613e-02,4.465796311550464422e-03
1.109999999999999254e+01,3.721190140803670027e-02,3.369845347348109262e-03
1.129999999999999183e+01,1.910164429423838461e-02,1.736853223011193938e-03
1.149999999999999112e+01,1.063079160803377145e-02,1.292449060524949187e-03
1.169999999999999041e+01,5.602255520579407268e-03,7.713881182203739416e-04
1.189999999999998970e+01,2.861253556881206746e-03,5.202086428257140767e-04
1.209999999999998899e+01,1.359485568733098931e-03,2.981207818566732884e-04
1.229999999999998828e+01,6.269605965190457215e-04,2.110808528561686540e-04
1.249999999999998757e+01,3.010879585040219879e-04,1.384737666967654967e-04
1.269999999999998685e+01,1.083182289740078472e-04,6.383556246639582104e-05
1.289999999999998614e+01,3.488214153400253119e-05,4.090808647874005099e-05
1.309999999999998543e+01,1.193336420900086656e-05,1.894629708132032677e-05
1.329999999999998472e+01,2.753853279000199942e-06,8.994047146721086258e-06
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
