logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,9.593490808799570724e-01,8.175927577144420644e-02
9.499999999999998224e+00,4.006236903957517415e-01,3.464914790690545171e-02
9.699999999999997513e+00,6.380453149425677761e-01,5.850151345674552139e-02
9.899999999999996803e+00,2.123246121764212069e-01,2.158113412822638272e-02
1.009999999999999609e+01,1.819312514871889996e-01,1.988907977211297473e-02
1.029999999999999538e+01,7.155291077271569433e-02,8.675868730934994597e-03
1.049999999999999467e+01,4.036758777799769049e-02,5.164221092548658062e-03
1.069999999999999396e+01,1.877416524181061558e-02,2.819488864835466031e-03
1.089999999999999325e+01,7.633681289388555453e-03,1.326100692433512633e-03
1.109999999999999254e+01,3.450578158587251122e-03,6.417942229785648673e-04
1.129999999999999183e+01,1.315653404042345549e-03,3.966867924224275243e-04
1.149999999999999112e+01,4.883499814760355450e-04,1.802050456256498918e-04
1.169999999999999041e+01,1.702799277515123469e-04,1.070889393347573994e-04
1.189999999999998970e+01,2.891545942950209875e-05,2.668776058937129749e-05
1.209999999999998899e+01,9.638486476500699585e-06,1.788827383849323117e-05
1.229999999999998828e+01,3.212828825500233336e-06,9.638486476500701279e-06
1.249999999999998757e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
