r,xi,xi_std
1.171465328551178908e-01,1.340899425174102078e+02,1.095492380911873731e+01
1.562078594016324817e-01,8.924017241653909593e+01,9.145075643747633265e+00
2.082256278590572940e-01,5.863017030725219314e+01,7.157267378972932192e+00
2.775255951513594388e-01,3.798356256174157863e+01,5.459112514895206658e+00
3.700549723806541569e-01,2.393568749695834441e+01,4.092795511172004908e+00
4.929830082405716740e-01,1.457306242169168797e+01,2.858845956530613019e+00
6.570150483631074234e-01,8.559443515944995085e+00,1.926908715144636686e+00
8.765418486779016360e-01,4.889276309390154118e+00,1.242723947496088277e+00
1.171073515994719649e+00,2.810524250225022946e+00,7.428434942589757783e-01
1.564192783021578492e+00,1.621706930239718458e+00,4.252528101359936974e-01
2.091437859986756909e+00,9.381615048484073238e-01,2.537076555422586033e-01
2.790910012656193651e+00,5.555834651499707011e-01,1.905428628268391877e-01
3.726657062835933676e+00,3.046362911887149916e-01,1.509533175608402389e-01
4.975533138822090251e+00,1.421076980706452442e-01,1.156215761112529689e-01
6.646162129924792161e+00,4.828820702332310699e-02,6.381572883847820565e-02
8.866862269984576272e+00,1.276474109220200256e-02,2.618922433463644756e-02
1.182428485553348452e+01,-8.945077181397919968e-04,9.010070976547854965e-03
1.576813779204350752e+01,-1.365817123723500701e-03,7.666870552722890135e-03
2.102690913984115539e+01,-3.633076174136651119e-03,5.869331198615494911e-03
