r,xi,xi_std
1.169917639497537326e-01,4.894880438627918693e+02,5.441497718167066466e+01
1.559789797134344125e-01,3.184478746907606137e+02,3.896410194229137147e+01
2.077556254916362588e-01,2.019994471645262024e+02,2.865003150480943006e+01
2.769515915666653227e-01,1.252821853300561088e+02,2.147468545325335754e+01
3.688351291646662644e-01,7.523905554455109268e+01,1.611783809701864456e+01
4.910785940528243909e-01,4.382671114209748708e+01,1.217562417293949295e+01
6.539424321555539210e-01,2.413970689227488009e+01,8.414218609221041589e+00
8.705675421184967400e-01,1.198664761059666617e+01,5.256291311096687124e+00
1.160142861469376285e+00,5.306336307859364609e+00,2.958827219037418299e+00
1.554215995231637670e+00,2.068016445226216860e+00,1.477677452830852500e+00
2.090388722275157818e+00,6.248613414659369703e-01,5.928301833506366414e-01
2.801467926154158405e+00,1.283573030043634322e-01,1.202089849617762052e-01
3.738505255385577097e+00,5.176482173286744808e-03,1.538999921588317908e-02
4.989128990560034893e+00,-8.435742378974953395e-03,2.210875464716161726e-02
6.650399840373800053e+00,9.223137193443453272e-03,5.823723645776017130e-03
8.870297426691308829e+00,2.844172042514303556e-04,1.026242408313364496e-02
1.182436519616647530e+01,-3.730784797716824031e-03,3.452206748178788219e-03
1.577047880204909269e+01,2.872163869876942673e-03,3.913476058564830870e-03
2.102720950345156581e+01,3.172593295748926787e-04,1.398277540443464573e-03
