r,xi,xi_std
1.170957646414709369e-01,5.394701937559875660e+02,1.653337053259821232e+01
1.560516224820369668e-01,3.470470745811910547e+02,9.733486050870538975e+00
2.079039490652587197e-01,2.169405834902149195e+02,7.717881840856634312e+00
2.771073302315898435e-01,1.324321520604036664e+02,5.956705590288343899e+00
3.691500859345835384e-01,7.819190027430460077e+01,3.660754125782112567e+00
4.915161053211115627e-01,4.359075032987101395e+01,2.498777491896436942e+00
6.545680957176001069e-01,2.230778544304325095e+01,1.265765570679318941e+00
8.716836886304901721e-01,1.039606000433527910e+01,4.683138836043445608e-01
1.159244161729224842e+00,4.029134284740994332e+00,2.346871198143940518e-02
1.550862919769876003e+00,1.166461979967928997e+00,1.306769883722909142e-01
2.081548117713078128e+00,2.274618155292086330e-01,8.311618197659498275e-02
2.800755328424850532e+00,3.467467654882816497e-02,4.380978268765822747e-03
3.739031146308036124e+00,3.109163982061291520e-03,1.360383832136058402e-02
4.989714602438617419e+00,5.631645276354957375e-03,5.289284834375074240e-03
6.657767712347804512e+00,2.610501593481195926e-03,5.214835270626272390e-03
8.864232826135326704e+00,2.567255338065621562e-03,1.603325157851792637e-02
1.183252460389769212e+01,2.721358386358230241e-03,1.005143885996229169e-02
1.576880161354936938e+01,2.091541980617672714e-03,4.308468309965118870e-03
2.102879090356177016e+01,5.042507509889770922e-04,2.041012987787416133e-03
