r,xi,xi_std
1.171473121724999761e-01,4.570966716138217123e+01,1.466739387178636944e+00
1.561167394530619257e-01,2.901055110071178689e+01,7.328693492875776316e-01
2.080807461255897439e-01,1.837754632606100103e+01,5.260778023703274187e-01
2.778301156279725515e-01,1.191662276882194504e+01,3.146884327763557754e-01
3.707693412563551338e-01,7.970075229649369319e+00,1.947239718157519617e-01
4.947235842157972074e-01,5.468774705290341487e+00,1.109010298441346631e-01
6.605711318804597942e-01,3.803130887253814763e+00,7.160292551943092665e-02
8.814259676829168111e-01,2.697091087114638963e+00,6.698507876229764513e-02
1.175952814851957795e+00,1.920060650571558725e+00,6.812796737318513318e-02
1.569088264810239330e+00,1.363967037948342176e+00,7.609744451983507796e-02
2.092563073123873796e+00,9.506088142368398497e-01,8.028660315447595786e-02
2.792276991744428116e+00,6.417240260327740087e-01,7.985749070552557172e-02
3.726605038216723287e+00,4.086398754209304984e-01,7.214693738426622427e-02
4.974851103581192646e+00,2.382076086165096085e-01,5.776541945332210742e-02
6.641070466719983578e+00,1.238332432376207937e-01,4.331868433864499018e-02
8.862324205209601402e+00,5.376229968947068144e-02,3.328786388937542140e-02
1.182228770435366627e+01,1.270297910594913107e-02,2.152632953996003184e-02
1.576792450038032101e+01,-8.902229451669962934e-04,1.026097868709153517e-02
2.103831894844848094e+01,-3.880816991027080751e-03,3.122972242191213166e-03
