Type,slope,massive_mass_frac,sigma
SalpeterVar,2.0,0.3702962870358794,
SalpeterVar,2.1,0.28856286796339164,
SalpeterVar,2.2,0.21667071283296227,
SalpeterVar,2.3,0.15724409406631196,
SalpeterVar,2.4,0.11078408680591839,
SalpeterVar,2.5,0.07614661592060679,
SalpeterVar,2.6,0.05130720936256153,
SalpeterVar,2.7,0.03403400296079711,
ChabrierVar,,0.20832007396226568,0.4
ChabrierVar,,0.23585827108578697,0.48000000000000004
ChabrierVar,,0.25113570801465623,0.56
ChabrierVar,,0.26042621413320133,0.64
ChabrierVar,,0.26649612539073625,0.72
ChabrierVar,,0.2706854045098348,0.8
