iz,z,Mg_center,median_color,p16,p84
iz82,,-23.871794871794872,-0.12040241,-0.12040241062641144,-0.12040241062641144
iz82,,-23.615384615384617,-0.15417793,-0.1541779339313507,-0.1541779339313507
iz82,,-23.358974358974358,-0.17699921,-0.20593329071998595,-0.1480651319026947
iz82,,-23.102564102564102,-0.03234224,-0.12907399058341978,0.0008655383437871924
iz82,,-22.846153846153847,-0.10370748,-0.16741358518600463,-0.040998518732376435
iz82,,-22.58974358974359,-0.0814313,-0.13807780683040619,-0.05737212240695953
iz82,,-22.333333333333332,-0.06924315,-0.1648874306678772,-0.0012905148789286829
iz82,,-22.076923076923077,-0.06314762,-0.19480795681476593,-0.01705395221710206
iz82,,-21.82051282051282,-0.08456415,-0.1302275389432907,-0.05415127784013748
iz82,,-21.564102564102566,-0.05956896,-0.14146878600120544,-0.03205695688724518
iz82,,-21.307692307692307,-0.1007002,-0.19669003069400787,-0.041666599810123446
iz82,,-21.05128205128205,-0.08277023,-0.20124287903308868,-0.039502643048763275
iz82,,-20.794871794871796,-0.06533684,-0.16570804953575136,-0.042146358042955405
iz82,,-20.53846153846154,-0.09643452,-0.18926790237426758,-0.04708880960941315
iz82,,-20.28205128205128,-0.08445941,-0.18474340558052063,-0.05633969724178315
iz82,,-20.025641025641026,-0.09817256,-0.17789295315742493,-0.056439177691936564
iz82,,-19.76923076923077,-0.099524096,-0.17714869022369387,-0.06648148953914643
iz82,,-19.512820512820515,-0.10815762,-0.1729238450527191,-0.08060594499111177
iz82,,-19.256410256410255,-0.12202197,-0.18294783890247346,-0.08647048711776734
iz82,,-19.0,-0.13596438,-0.18324711501598356,-0.09272045940160752
iz82,,-18.743589743589745,-0.14285171,-0.19195079445838928,-0.09350499659776688
iz82,,-18.48717948717949,-0.15537304,-0.20372586846351623,-0.1132451394200325
iz82,,-18.23076923076923,-0.16329826,-0.2094270384311676,-0.11858592182397842
iz82,,-17.974358974358974,-0.16881335,-0.22139089107513427,-0.12049409061670303
iz82,,-17.71794871794872,-0.18130274,-0.23369300365447998,-0.1304981827735901
iz82,,-17.461538461538463,-0.1858145,-0.23782628774642944,-0.13622020840644836
iz82,,-17.205128205128204,-0.19629228,-0.24489166140556334,-0.13745093643665315
iz82,,-16.94871794871795,-0.20193014,-0.25470075964927674,-0.1465097635984421
iz82,,-16.692307692307693,-0.20308976,-0.25169543027877805,-0.150315517783165
iz82,,-16.435897435897438,-0.20796153,-0.25675450325012206,-0.16041968107223514
iz82,,-16.17948717948718,-0.2014372,-0.2495163267850876,-0.16249480128288268
iz82,,-15.923076923076923,-0.20535798,-0.24732799232006072,-0.16483408451080322
iz82,,-15.666666666666668,-0.20658088,-0.24444711804389954,-0.16987584233283998
iz82,,-15.410256410256412,-0.2113246,-0.24598069608211517,-0.17516981899738313
iz82,,-15.153846153846153,-0.2127681,-0.24525120258331298,-0.17417287051677705
iz82,,-14.897435897435898,-0.21019278,-0.24269944846630095,-0.1746583092212677
iz82,,-14.641025641025642,-0.20408358,-0.2369782680273056,-0.17031496047973638
iz82,,-14.384615384615387,-0.20461203,-0.23501335322856903,-0.17425144612789153
iz82,,-14.128205128205128,-0.2047183,-0.23302624106407166,-0.17609224259853365
iz100,,-23.871794871794872,-0.105213895,-0.10983366906642913,-0.05356669992208482
iz100,,-23.615384615384617,-0.0922913,-0.1137850433588028,-0.016269295588135717
iz100,,-23.358974358974358,-0.011085955,-0.05576774224638939,0.0067910982668399796
iz100,,-23.102564102564102,-0.06549816,-0.17403507590293885,-0.007467551045119761
iz100,,-22.846153846153847,-0.033274725,-0.12861480832099914,0.03318468913435936
iz100,,-22.58974358974359,0.0022714753,-0.0921032053232193,0.10175233513116835
iz100,,-22.333333333333332,0.0059446488,-0.10094941318035125,0.06432598739862441
iz100,,-22.076923076923077,0.00450235,-0.10575674742460252,0.09589523673057557
iz100,,-21.82051282051282,-0.023362601,-0.15504417300224305,0.03272645950317382
iz100,,-21.564102564102566,-0.028873753,-0.1342536586523056,0.030000818371772767
iz100,,-21.307692307692307,-0.007195699,-0.061808654069900514,0.03235258355736734
iz100,,-21.05128205128205,-0.033182584,-0.14054760336875916,0.023609312921762472
iz100,,-20.794871794871796,-0.037925303,-0.08787493050098419,-0.0063563307747245175
