logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.784565771124104749e-01,3.003994951842725580e-03
9.499999999999998224e+00,1.602719659600791435e-01,3.293149546137727479e-03
9.699999999999997513e+00,1.007848338415295864e+00,3.471461545953002936e-02
9.899999999999996803e+00,7.027902414340485571e-01,3.175881294006982491e-02
1.009999999999999609e+01,7.166054053836996562e-01,3.934108896825033730e-02
1.029999999999999538e+01,4.866471821985203783e-01,2.293959781407167720e-02
1.049999999999999467e+01,2.748253777332899661e-01,1.448985800300603421e-02
1.069999999999999396e+01,2.207374044559935466e-01,1.158224791592833702e-02
1.089999999999999325e+01,1.135092424049232579e-01,7.260993145630528778e-03
1.109999999999999254e+01,8.170223703247093960e-02,6.007989903685437283e-03
1.129999999999999183e+01,5.283497003535134184e-02,2.907610087077711070e-03
1.149999999999999112e+01,3.376683095600745144e-02,1.574286124495113265e-03
1.169999999999999041e+01,2.159020970736157119e-02,5.783091885900419615e-04
1.189999999999998970e+01,1.331717548169846985e-02,1.445772971475104904e-04
1.209999999999998899e+01,8.337290802173106391e-03,4.979884679525356517e-04
1.229999999999998828e+01,6.216823777342951954e-03,7.228864857375524519e-04
1.249999999999998757e+01,3.823266302345277798e-03,4.819243238250350402e-04
1.269999999999998685e+01,2.232916033722662404e-03,2.730904501675197188e-04
1.289999999999998614e+01,1.188746665435086447e-03,3.212828825500230710e-05
1.309999999999998543e+01,9.799127917775713424e-04,1.606414412750115355e-05
1.329999999999998472e+01,6.104374768450444855e-04,1.606414412750116981e-04
1.349999999999998401e+01,4.016036031875292183e-04,1.606414412750115355e-05
1.369999999999998330e+01,1.767055854025128517e-04,1.606414412750118066e-05
1.389999999999998259e+01,8.032072063750583552e-05,4.819243238250350131e-05
1.409999999999998188e+01,6.425657651000466842e-05,3.212828825500234098e-05
1.429999999999998117e+01,4.819243238250350131e-05,1.606414412750116710e-05
1.449999999999998046e+01,1.606414412750116710e-05,1.606414412750116710e-05
1.469999999999997975e+01,1.606414412750116710e-05,1.606414412750116710e-05
