logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.969365114903818048e+00,1.009393808070040421e-01
9.499999999999998224e+00,7.047969743184562263e-01,3.922461119667966511e-02
9.699999999999997513e+00,1.625945199180332201e+00,9.720166585360906497e-02
9.899999999999996803e+00,5.905571346386140341e-01,4.039042475112605834e-02
1.009999999999999609e+01,5.938213687253222073e-01,4.264033770264507445e-02
1.029999999999999538e+01,3.046012327222610838e-01,2.260260521420940846e-02
1.049999999999999467e+01,1.846599070086863137e-01,1.480962163442056147e-02
1.069999999999999396e+01,1.177553169807043498e-01,9.627664648641573800e-03
1.089999999999999325e+01,5.896633256593598188e-02,5.368769093610813344e-03
1.109999999999999254e+01,3.731572167665501982e-02,3.624636021367399260e-03
1.129999999999999183e+01,1.910990585407538675e-02,2.085539227658438511e-03
1.149999999999999112e+01,1.069165176549967920e-02,1.365709857611319307e-03
1.169999999999999041e+01,5.678353666189115724e-03,8.724427062591717710e-04
1.189999999999998970e+01,2.820863708789206423e-03,4.953177677660970104e-04
1.209999999999998899e+01,1.443202708414704702e-03,3.356654328765662628e-04
1.229999999999998828e+01,6.290718840329456241e-04,1.748074152897391702e-04
1.249999999999998757e+01,2.795161078185202778e-04,1.122652685591564908e-04
1.269999999999998685e+01,1.028105224160075074e-04,5.747282923111465645e-05
1.289999999999998614e+01,3.791138014090274108e-05,4.148905384283087136e-05
1.309999999999998543e+01,8.995920711400652494e-06,1.821988400162858116e-05
1.329999999999998472e+01,2.570263060400186669e-06,8.716186109535742395e-06
1.349999999999998401e+01,6.425657651000466672e-07,4.497960355700326247e-06
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
