logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.667056556831433500e+00,1.158367165523292441e-01
9.499999999999998224e+00,6.293369424110495380e-01,5.198848161780915411e-02
9.699999999999997513e+00,1.252400836540309870e+00,9.483917616605702650e-02
9.899999999999996803e+00,4.330009728847302730e-01,3.698906800709338138e-02
1.009999999999999609e+01,4.195231559617567663e-01,3.663047841494024986e-02
1.029999999999999538e+01,1.925287673681015110e-01,1.790513712888901210e-02
1.049999999999999467e+01,1.159108319519846775e-01,1.152958831656356563e-02
1.069999999999999396e+01,6.695535272342487132e-02,8.562535412675761209e-03
1.089999999999999325e+01,3.167849221943230126e-02,3.617608164272713509e-03
1.109999999999999254e+01,1.830509223328757873e-02,2.678656896191994492e-03
1.129999999999999183e+01,8.184681432961846137e-03,1.484760620681860408e-03
1.149999999999999112e+01,4.024068103939042705e-03,9.895760521922063267e-04
1.169999999999999041e+01,1.823280358471382392e-03,3.175463208715740334e-04
1.189999999999998970e+01,7.550147739925549759e-04,2.545039063822630257e-04
1.209999999999998899e+01,2.811225222312704582e-04,6.169551617905204115e-05
1.229999999999998828e+01,7.228864857375524519e-05,4.173587071341185243e-05
1.249999999999998757e+01,4.016036031875291776e-05,3.501099043312498501e-05
1.269999999999998685e+01,2.409621619125175066e-05,2.663936932455624522e-05
1.289999999999998614e+01,8.032072063750583552e-06,1.391195690447061691e-05
1.309999999999998543e+01,8.032072063750583552e-06,1.391195690447061691e-05
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
