logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.257212047706496527e+00,2.375548919042791418e-02
9.499999999999998224e+00,6.249701725657237361e-01,1.793112231954701805e-02
9.699999999999997513e+00,1.794471993336063775e+00,5.703449187703794193e-02
9.899999999999996803e+00,7.250176621918010822e-01,2.953655585617835644e-02
1.009999999999999609e+01,7.487497577828294837e-01,3.415637488226931640e-02
1.029999999999999538e+01,4.358095207496883727e-01,1.807429359084617229e-02
1.049999999999999467e+01,2.581507961289438158e-01,1.284105692903540243e-02
1.069999999999999396e+01,1.886144709157003829e-01,9.716008476312831127e-03
1.089999999999999325e+01,9.584939329409029873e-02,4.077326058054139661e-03
1.109999999999999254e+01,6.704102815877154009e-02,4.843622870103684967e-03
1.129999999999999183e+01,3.836117617647279848e-02,1.579849568529607430e-03
1.149999999999999112e+01,2.423543877369009614e-02,8.939647695256454840e-04
1.169999999999999041e+01,1.476830316788274068e-02,6.991543363401870465e-04
1.189999999999998970e+01,8.278388940372269009e-03,6.341212233499035362e-04
1.209999999999998899e+01,5.161944979637042401e-03,6.501955582951243285e-04
1.229999999999998828e+01,2.795161078185203537e-03,3.548685426407580568e-04
1.249999999999998757e+01,1.638542701005119180e-03,2.738767761548014453e-04
1.269999999999998685e+01,1.006686365323406634e-03,1.842519905618902659e-04
1.289999999999998614e+01,4.283771767333645103e-04,1.239706082685792978e-04
1.309999999999998543e+01,2.356074472033504780e-04,9.931516273006901036e-05
1.329999999999998472e+01,9.638486476500701618e-05,6.940503508812430442e-05
1.349999999999998401e+01,2.141885883666822281e-05,3.029084065737101244e-05
1.369999999999998330e+01,2.141885883666822281e-05,1.514542032868550622e-05
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
