logM,phi,phi_std
8.599999999999999645e+00,1.822744887000465885e-02,8.432613156613701869e-05
8.799999999999998934e+00,1.295840959618427789e-02,4.100466971352980674e-04
8.999999999999998224e+00,9.788418488357380695e-03,4.438926077387070541e-04
9.199999999999997513e+00,6.886163115988834689e-03,4.100466971352977421e-04
9.399999999999996803e+00,4.851371526505352492e-03,2.776201403524973261e-04
9.599999999999996092e+00,3.791138014090275708e-03,2.241317531458468211e-04
9.799999999999995381e+00,2.623810207491857754e-03,3.423669081446661651e-04
9.999999999999994671e+00,2.259689607268497696e-03,1.842519905618903201e-04
1.019999999999999396e+01,1.574286124495114349e-03,1.638227687505908452e-04
1.039999999999999325e+01,6.639846239367149612e-04,8.432613156613650370e-05
1.059999999999999254e+01,1.178037236016752390e-04,6.601735667018671376e-05
1.079999999999999183e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999112e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.119999999999999041e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.139999999999998970e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.159999999999998899e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.179999999999998828e+01,0.000000000000000000e+00,0.000000000000000000e+00
