logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.765577952765398362e-01,3.256109686113475149e-03
9.499999999999998224e+00,1.561563322346133931e-01,3.804569982177858842e-03
9.699999999999997513e+00,9.817280400639788462e-01,2.685532585373381215e-02
9.899999999999996803e+00,6.680274335421361176e-01,2.347612176086251445e-02
1.009999999999999609e+01,6.777108996221938852e-01,2.529964473269876932e-02
1.029999999999999538e+01,4.629011643492481065e-01,1.881578300466039272e-02
1.049999999999999467e+01,2.603130299285054128e-01,1.022108914311546483e-02
1.069999999999999396e+01,2.089238328646291776e-01,8.617293252904755993e-03
1.089999999999999325e+01,1.092618826976119450e-01,4.271221207764803150e-03
1.109999999999999254e+01,7.883639372012472835e-02,4.635941665383801202e-03
1.129999999999999183e+01,4.860367447216753373e-02,2.094103984812848828e-03
1.149999999999999112e+01,3.010420609493719146e-02,1.460547884988962512e-03
1.169999999999999041e+01,2.058138145615449194e-02,1.092286202081755664e-03
1.189999999999998970e+01,1.262963011304141757e-02,7.477613207552215356e-04
1.209999999999998899e+01,8.247331595059099324e-03,3.868891619928857008e-04
1.229999999999998828e+01,5.204782697310378521e-03,3.812316203995547506e-04
1.249999999999998757e+01,3.328490663218241965e-03,3.595498543068155256e-04
1.269999999999998685e+01,2.030507817716147370e-03,3.057424874386236585e-04
1.289999999999998614e+01,1.294770016676594125e-03,9.317203593950676378e-05
1.309999999999998543e+01,7.710789181200561294e-04,2.267264870468087648e-04
1.329999999999998472e+01,5.269039273820382485e-04,1.028105224160074803e-04
1.349999999999998401e+01,3.277085402010239011e-04,7.155309535397296535e-05
1.369999999999998330e+01,1.702799277515123740e-04,1.016493547988730632e-04
1.389999999999998259e+01,8.995920711400655204e-05,3.746770065572837459e-05
1.409999999999998188e+01,6.746940533550490726e-05,4.176677473150303718e-05
1.429999999999998117e+01,1.606414412750116710e-05,2.155231096166799532e-05
1.449999999999998046e+01,9.638486476500699585e-06,1.472303128779088652e-05
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
