logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.281286845038911659e+00,4.075245655012681156e-02
9.499999999999998224e+00,6.436652665203290713e-01,2.388663162678434163e-02
9.699999999999997513e+00,1.818764549066651748e+00,7.428570856663746502e-02
9.899999999999996803e+00,7.461830645322353739e-01,3.675988035369152918e-02
1.009999999999999609e+01,7.610513223746893097e-01,4.022775730556440998e-02
1.029999999999999538e+01,4.484038097456493066e-01,2.405626784332736898e-02
1.049999999999999467e+01,2.664434643085404897e-01,1.616596401468665956e-02
1.069999999999999396e+01,1.930124765968295741e-01,1.154333535516033349e-02
1.089999999999999325e+01,1.003509234595967303e-01,5.543681310590882830e-03
1.109999999999999254e+01,6.952204597401893948e-02,5.026806862041778221e-03
1.129999999999999183e+01,4.024246594429348178e-02,2.742873301295232959e-03
1.149999999999999112e+01,2.399983132648674314e-02,2.267011926319315290e-03
1.169999999999999041e+01,1.499320118566775835e-02,1.559610643241725629e-03
1.189999999999998970e+01,8.667498209238407025e-03,7.001015029241645102e-04
1.209999999999998899e+01,5.383273187615947135e-03,5.391240183090134684e-04
1.229999999999998828e+01,3.105734531316892144e-03,3.331992472310812080e-04
1.249999999999998757e+01,1.742067185382349150e-03,2.939841869818306903e-04
1.269999999999998685e+01,8.139166357933926834e-04,2.427995583432308933e-04
1.289999999999998614e+01,4.926337532433691787e-04,9.931516273006901036e-05
1.309999999999998543e+01,1.999093491422367552e-04,6.735503671177063523e-05
1.329999999999998472e+01,1.249433432138979483e-04,6.141733018729677337e-05
1.349999999999998401e+01,4.997733728555919558e-05,3.070866509364838669e-05
1.369999999999998330e+01,3.212828825500233421e-05,3.029084065737101583e-05
1.389999999999998259e+01,7.139619612222740653e-06,1.335700523041466063e-05
1.409999999999998188e+01,7.139619612222740653e-06,1.335700523041466063e-05
1.429999999999998117e+01,3.569809806111370326e-06,1.009694688579033805e-05
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
