logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.741411054339985665e+00,9.545563353148492358e-02
9.499999999999998224e+00,6.470765767710491279e-01,3.684248525825291332e-02
9.699999999999997513e+00,1.326795494409180431e+00,8.134590076444427054e-02
9.899999999999996803e+00,4.672545474078010352e-01,3.366342250728409508e-02
1.009999999999999609e+01,4.531630801791569629e-01,3.161698732411941798e-02
1.029999999999999538e+01,2.155615372181126921e-01,1.577126064062519747e-02
1.049999999999999467e+01,1.288344359025593577e-01,1.158927523965493610e-02
1.069999999999999396e+01,7.512878925549745790e-02,7.300763113835840104e-03
1.089999999999999325e+01,3.645918151177665600e-02,3.717252670106527442e-03
1.109999999999999254e+01,2.133318340132155100e-02,2.440904279681266244e-03
1.129999999999999183e+01,9.548527269386694605e-03,9.413972235905970591e-04
1.149999999999999112e+01,5.166228751404375492e-03,9.332479704625007292e-04
1.169999999999999041e+01,2.345365042615169936e-03,5.993454457626163148e-04
1.189999999999998970e+01,9.702743053010704768e-04,1.592215212092465513e-04
1.209999999999998899e+01,4.562216932210332379e-04,1.655776151192533345e-04
1.229999999999998828e+01,1.477901259730107428e-04,6.615619458730413673e-05
1.249999999999998757e+01,3.212828825500233421e-05,2.031971364164879957e-05
1.269999999999998685e+01,6.425657651000466672e-06,1.285131530200093504e-05
1.289999999999998614e+01,6.425657651000466672e-06,1.285131530200093334e-05
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
