logM,phi,phi_std
9.099999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999998934e+00,1.677803469252731938e+00,1.303603728792666547e-02
9.499999999999998224e+00,6.396420908688414952e-01,3.280967895162650687e-03
9.699999999999997513e+00,1.269560019825835662e+00,1.866363823698931682e-02
9.899999999999996803e+00,4.400718736581853974e-01,7.065610481412448914e-03
1.009999999999999609e+01,4.247038424428759007e-01,9.614503214154220337e-03
1.029999999999999538e+01,1.940441516307958025e-01,4.570605814480410353e-03
1.049999999999999467e+01,1.188853759729269904e-01,3.306179694013510525e-03
1.069999999999999396e+01,6.638775296425315775e-02,1.104993094164851775e-03
1.089999999999999325e+01,3.304929918497907099e-02,1.492342754215071057e-03
1.109999999999999254e+01,1.854873175255468062e-02,5.779124069388092344e-04
1.129999999999999183e+01,8.524705816993953869e-03,7.161718233086282340e-04
1.149999999999999112e+01,4.123130326058633242e-03,2.479412165371585415e-04
1.169999999999999041e+01,1.991953871810144775e-03,2.331607822791319587e-04
1.189999999999998970e+01,9.103015005583994963e-04,8.432613156613650370e-05
1.209999999999998899e+01,3.105734531316892578e-04,3.029084065737101244e-05
1.229999999999998828e+01,1.392225824383434482e-04,1.514542032868550622e-05
1.249999999999998757e+01,4.283771767333644561e-05,1.514542032868550622e-05
1.269999999999998685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.289999999999998614e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.309999999999998543e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.329999999999998472e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.349999999999998401e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.369999999999998330e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999998259e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.409999999999998188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429999999999998117e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.449999999999998046e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.469999999999997975e+01,0.000000000000000000e+00,0.000000000000000000e+00
