r,xi,xi_std
1.171302625255014329e-01,5.530144142217898207e+02,8.352666738081916264e+01
1.560198246315413484e-01,3.639237428373152170e+02,6.291619062775983195e+01
2.079379961317261716e-01,2.357660084010459798e+02,4.553331360694343033e+01
2.770991170724149688e-01,1.491610475361239025e+02,3.239509444724927079e+01
3.692262829220055997e-01,9.065047734810215729e+01,2.136447491864656101e+01
4.918408776378035419e-01,5.258315593312511282e+01,1.344331595938097301e+01
6.546813405121000295e-01,2.859876452569252336e+01,8.180852168978168137e+00
8.714354845468946786e-01,1.433529936683641459e+01,5.231416855549455569e+00
1.158781020133236916e+00,6.472226338732805395e+00,3.334716698544107683e+00
1.550164239049584225e+00,2.504722382666068725e+00,1.661961317956494488e+00
2.086906614052200570e+00,7.580789473527348443e-01,6.118059280766666719e-01
2.800643436530704466e+00,1.634697082008881863e-01,1.410802149623631430e-01
3.736980682238548734e+00,1.408083854899496758e-02,1.718500587946908756e-02
4.988052564060961203e+00,-6.339416807037800798e-03,1.524799521112401961e-02
6.650606849695904543e+00,-2.421859116515390382e-03,1.269077932581352298e-02
8.871944189881471488e+00,-5.576405334332035571e-03,8.907439388471355413e-03
1.182466786457124819e+01,-3.150559475277603556e-03,5.349658047383782852e-03
1.576214090271559876e+01,2.704552035607110834e-03,6.927651221172978317e-03
2.103040989198277799e+01,-2.485265042012763017e-03,2.915730972535693095e-03
