r,xi,xi_std
1.172459945641504547e-01,1.326698804254209847e+02,1.041291537774573328e+01
1.564412902688925022e-01,8.833758227141605346e+01,8.270168971273227143e+00
2.085032154030556084e-01,5.794413097569207594e+01,6.732261363380477981e+00
2.780845659644337609e-01,3.753094588258402808e+01,5.386675545131217824e+00
3.704538545796575710e-01,2.385167048385240207e+01,4.108547494744370532e+00
4.935653671637169060e-01,1.463252007817264122e+01,2.902419633655747955e+00
6.577821483623608190e-01,8.611669377035662265e+00,1.957775805434009531e+00
8.760126679456726739e-01,4.872137634703880948e+00,1.223590160981820052e+00
1.169683364542397408e+00,2.719108736717081864e+00,7.293622800383612326e-01
1.564172488588899901e+00,1.554249988413635597e+00,4.632532796701478994e-01
2.087607365278479676e+00,9.134870124107337119e-01,3.038479572257529737e-01
2.788429748790348217e+00,5.304023072654782123e-01,2.112175411818811854e-01
3.729042937119229961e+00,2.949361950153653877e-01,1.593258633063997787e-01
4.975590380607651575e+00,1.443712564023796330e-01,1.098076458657664123e-01
6.630394802323372971e+00,6.139005327487059155e-02,7.013033937418791663e-02
8.847344362134018425e+00,1.692421378142882141e-02,2.860978891711563055e-02
1.181670408617720902e+01,4.667235855246642867e-04,1.138585815367916011e-02
1.577097407332522572e+01,-3.374534171409110210e-03,5.069388326119754658e-03
2.103094144032446877e+01,-2.302115786441205538e-03,4.523088535946038179e-03
