r,xi,xi_std
1.171191291857436867e-01,6.087495655871300642e+02,1.320772125811542992e+02
1.560295562638873146e-01,4.069342286266467568e+02,1.029669295617709537e+02
2.080041790510435695e-01,2.675755232122554617e+02,7.935767130686207338e+01
2.770342125996129723e-01,1.717930136094033173e+02,5.852182237557213540e+01
3.689352569309409802e-01,1.069500069374297482e+02,4.226433637613867944e+01
4.915445475561627808e-01,6.404720604850571419e+01,2.979434524091274739e+01
6.546844551275239343e-01,3.651020736051178517e+01,2.018610381078039140e+01
8.709090347572613355e-01,1.932055496493815028e+01,1.282859357112373999e+01
1.159347616433402672e+00,9.285684748035313518e+00,7.586619354502705193e+00
1.550331084064667797e+00,3.879563957865608703e+00,3.805767048328826618e+00
2.085095876742073973e+00,1.394151455269893258e+00,1.610298684363421051e+00
2.803231827703402512e+00,4.298656519335679604e-01,6.463722390728435796e-01
3.738730699411756397e+00,9.336371068465652845e-02,1.727408609362507397e-01
4.985530299721832037e+00,4.369888411800115433e-03,3.054579777851495342e-02
6.649855862744638024e+00,-1.124266603024226541e-03,3.190596302297812881e-02
8.866226596889053013e+00,3.000599552195337761e-05,2.004684899130840248e-02
1.183285705252683151e+01,-2.550910943826728561e-03,8.800368459624532264e-03
1.577638006697214834e+01,-1.215797755066838712e-03,9.235109506822157185e-03
2.103209637936580023e+01,-2.077927309037852412e-03,2.676670263468084506e-03
