r,xi,xi_std
1.171648687648577658e-01,4.528941562136223808e+01,1.454307622199244143e+00
1.560791600607879526e-01,2.881633537703426029e+01,9.878897244859610183e-01
2.082525399685194178e-01,1.817082451139813770e+01,5.128585615689302823e-01
2.778987439858966457e-01,1.191113539305373692e+01,2.627366899958832325e-01
3.711235572203877009e-01,7.950763200142263898e+00,1.398749294450959135e-01
4.953231143585449803e-01,5.455732452615779771e+00,7.248355342475941432e-02
6.610477069069229383e-01,3.828412315395860244e+00,3.450699628180967093e-02
8.822648454746593316e-01,2.726447630762171226e+00,4.389111627915412428e-02
1.176475620282021906e+00,1.957013233433213317e+00,6.535137537690301202e-02
1.569735850593040327e+00,1.401312828561248613e+00,7.570566444843780662e-02
2.094267715598387980e+00,9.928504280726226927e-01,9.002088763595295084e-02
2.794279886295770954e+00,6.811761121236769023e-01,9.376720378076126849e-02
3.727058772944797482e+00,4.424774000370341187e-01,8.880862593413302308e-02
4.972562484022585494e+00,2.657977386112820861e-01,7.849810756625440200e-02
6.636133263525839432e+00,1.369512265837952436e-01,6.263126730974036271e-02
8.856235430731295821e+00,5.783782493713638534e-02,3.920672193919988446e-02
1.181362772830857644e+01,1.859718576983242569e-02,1.882225299449507075e-02
1.575989769818900044e+01,3.467397921940684920e-03,4.239001894937022979e-03
2.102336800873775857e+01,-7.964990662997873533e-03,7.142491501829706206e-03
