iz,z,logMh_center,residual_log10
iz82,,10.1,-0.8078361517862861
iz82,,10.299999999999999,-1.1008675000516845
iz82,,10.499999999999998,-1.2209994419813903
iz82,,10.699999999999998,-1.4915078434989135
iz82,,10.899999999999997,-1.6366918872342682
iz82,,11.099999999999996,-2.0244045196909912
iz82,,11.299999999999995,-2.3233257293852647
iz82,,11.499999999999995,-2.62033338551557
iz82,,11.699999999999994,-38.120967593960714
iz82,,11.899999999999993,-37.93602175444723
iz82,,12.099999999999993,-37.748043136916806
iz82,,12.299999999999992,-37.55652855982084
iz82,,12.499999999999991,-37.36089135654544
iz82,,12.69999999999999,-37.16044752403673
iz82,,12.89999999999999,-36.95439957328379
iz82,,13.099999999999989,-36.74181770036398
iz82,,13.299999999999988,-36.521617833493636
iz82,,13.499999999999988,-36.29253603776826
iz82,,13.699999999999987,-36.053098673280545
iz82,,13.899999999999986,-35.80158760204041
iz82,,14.099999999999985,-35.53599962222201
iz82,,14.299999999999985,-35.25399917196811
iz82,,14.499999999999984,-34.95286318607454
iz82,,14.699999999999983,-34.62941680360438
iz82,,14.899999999999983,-34.27995840846953
iz100,,10.1,-0.2441393750629308
iz100,,10.299999999999999,-0.4044392637057179
iz100,,10.499999999999998,-0.46369833057086685
iz100,,10.699999999999998,-0.7029910776434362
iz100,,10.899999999999997,-0.9096931592980059
iz100,,11.099999999999996,-1.0148592017847609
iz100,,11.299999999999995,-1.3233257293852647
iz100,,11.499999999999995,-1.4162134028596454
iz100,,11.699999999999994,-1.5348987602766107
iz100,,11.899999999999993,-37.93602175444723
iz100,,12.099999999999993,-37.748043136916806
iz100,,12.299999999999992,-37.55652855982084
iz100,,12.499999999999991,-37.36089135654544
iz100,,12.69999999999999,-37.16044752403673
iz100,,12.89999999999999,-36.95439957328379
iz100,,13.099999999999989,-36.74181770036398
iz100,,13.299999999999988,-36.521617833493636
iz100,,13.499999999999988,-36.29253603776826
iz100,,13.699999999999987,-36.053098673280545
iz100,,13.899999999999986,-35.80158760204041
iz100,,14.099999999999985,-35.53599962222201
iz100,,14.299999999999985,-35.25399917196811
iz100,,14.499999999999984,-34.95286318607454
iz100,,14.699999999999983,-34.62941680360438
iz100,,14.899999999999983,-34.27995840846953
iz105,,10.1,-0.16107608135294485
iz105,,10.299999999999999,-0.3231004111100764
iz105,,10.499999999999998,-0.40118141713922606
iz105,,10.699999999999998,-0.5892053353843837
iz105,,10.899999999999997,-0.7678160007734263
iz105,,11.099999999999996,-0.957457730060378
iz105,,11.299999999999995,-1.137689152423353
