IMF,Z,fbin,SFH,Approx_ML_mod
Salpeter,0.0001,0.0,const,0.685875540901389
Salpeter,0.0001,0.0,burst,0.5829942097661807
Salpeter,0.0001,0.0,exp,0.7201693179464586
Salpeter,0.0001,0.3,const,0.6550111415608265
Salpeter,0.0001,0.3,burst,0.5567594703267025
Salpeter,0.0001,0.3,exp,0.6877616986388678
Salpeter,0.0001,0.6,const,0.624146742220264
Salpeter,0.0001,0.6,burst,0.5305247308872244
Salpeter,0.0001,0.6,exp,0.6553540793312772
Salpeter,0.001,0.0,const,0.774954234928707
Salpeter,0.001,0.0,burst,0.6587110996894009
Salpeter,0.001,0.0,exp,0.8137019466751424
Salpeter,0.001,0.3,const,0.7400812943569152
Salpeter,0.001,0.3,burst,0.6290691002033779
Salpeter,0.001,0.3,exp,0.777085359074761
Salpeter,0.001,0.6,const,0.7052083537851234
Salpeter,0.001,0.6,burst,0.5994271007173548
Salpeter,0.001,0.6,exp,0.7404687714743796
Salpeter,0.01,0.0,const,0.864039195882062
Salpeter,0.01,0.0,burst,0.7344333164997527
Salpeter,0.01,0.0,exp,0.9072411556761651
Salpeter,0.01,0.3,const,0.8251574320673692
Salpeter,0.01,0.3,burst,0.7013838172572638
Salpeter,0.01,0.3,exp,0.8664153036707377
Salpeter,0.01,0.6,const,0.7862756682526765
Salpeter,0.01,0.6,burst,0.6683343180147749
Salpeter,0.01,0.6,exp,0.8255894516653103
Salpeter,0.02,0.0,const,0.8908566122400284
Salpeter,0.02,0.0,burst,0.7572281204040241
Salpeter,0.02,0.0,exp,0.9353994428520299
Salpeter,0.02,0.3,const,0.8507680646892272
Salpeter,0.02,0.3,burst,0.723152854985843
Salpeter,0.02,0.3,exp,0.8933064679236885
Salpeter,0.02,0.6,const,0.8106795171384259
Salpeter,0.02,0.6,burst,0.689077589567662
Salpeter,0.02,0.6,exp,0.8512134929953472
Kroupa,0.0001,0.0,const,0.8124176867361358
Kroupa,0.0001,0.0,burst,0.6905550337257154
Kroupa,0.0001,0.0,exp,0.8530385710729426
Kroupa,0.0001,0.3,const,0.7758588908330096
Kroupa,0.0001,0.3,burst,0.6594800572080581
Kroupa,0.0001,0.3,exp,0.8146518353746601
Kroupa,0.0001,0.6,const,0.7393000949298836
Kroupa,0.0001,0.6,burst,0.628405080690401
Kroupa,0.0001,0.6,exp,0.7762650996763778
Kroupa,0.001,0.0,const,0.9179311541562468
Kroupa,0.001,0.0,burst,0.7802414810328098
Kroupa,0.001,0.0,exp,0.9638277118640592
Kroupa,0.001,0.3,const,0.8766242522192157
Kroupa,0.001,0.3,burst,0.7451306143863333
Kroupa,0.001,0.3,exp,0.9204554648301765
Kroupa,0.001,0.6,const,0.8353173502821847
Kroupa,0.001,0.6,burst,0.710019747739857
Kroupa,0.001,0.6,exp,0.877083217796294
Kroupa,0.01,0.0,const,1.023452044732966
Kroupa,0.01,0.0,burst,0.8699342380230211
Kroupa,0.01,0.0,exp,1.0746246469696143
Kroupa,0.01,0.3,const,0.9773967027199825
Kroupa,0.01,0.3,burst,0.830787197311985
Kroupa,0.01,0.3,exp,1.0262665378559817
Kroupa,0.01,0.6,const,0.9313413607069991
